[2025-12-03 16:51:36] Iniciando proceso de extracción de grupos y miembros...
[2025-12-03 16:51:36] Generando listado de grupos...
[2025-12-03 16:51:38] Se encontraron     1000 grupos
[2025-12-03 16:51:55] Procesando grupo 14/    1000: tech-team@spin.co
[2025-12-03 16:51:57] Grupo tech-team@spin.co:      555 usuarios encontrados
[2025-12-03 16:51:57] Procesando grupo 15/    1000: team.titans@spin.co
[2025-12-03 16:51:58] Grupo team.titans@spin.co:       13 usuarios encontrados
[2025-12-03 16:51:58] Procesando grupo 16/    1000: sre.transversal@spin.co
[2025-12-03 16:52:00] Grupo sre.transversal@spin.co:        6 usuarios encontrados
[2025-12-03 16:52:00] Procesando grupo 17/    1000: team.artemis@spin.co
[2025-12-03 16:52:01] Grupo team.artemis@spin.co:       10 usuarios encontrados
[2025-12-03 16:52:01] Procesando grupo 18/    1000: devsecops@spin.co
[2025-12-03 16:52:02] Grupo devsecops@spin.co:       22 usuarios encontrados
[2025-12-03 16:52:02] Procesando grupo 19/    1000: soporte.spei.karpay@spin.co
[2025-12-03 16:52:03] Grupo soporte.spei.karpay@spin.co:        6 usuarios encontrados
[2025-12-03 16:52:03] Procesando grupo 20/    1000: spin-premia.marketacces@spin.co
[2025-12-03 16:52:05] Grupo spin-premia.marketacces@spin.co:        4 usuarios encontrados
[2025-12-03 16:52:05] Procesando grupo 21/    1000: singularity_ops_sandbox@spin.co
[2025-12-03 16:52:06] Grupo singularity_ops_sandbox@spin.co:        2 usuarios encontrados
[2025-12-03 16:52:06] Procesando grupo 22/    1000: soc.notificaciones@spin.co
[2025-12-03 16:52:07] Grupo soc.notificaciones@spin.co:        4 usuarios encontrados
[2025-12-03 16:52:07] Procesando grupo 23/    1000: singularity_ops_prod@spin.co
[2025-12-03 16:52:09] Grupo singularity_ops_prod@spin.co:        2 usuarios encontrados
[2025-12-03 16:52:09] Procesando grupo 24/    1000: sec.ops.ti@spin.co
[2025-12-03 16:52:10] Grupo sec.ops.ti@spin.co:        4 usuarios encontrados
[2025-12-03 16:52:10] Procesando grupo 25/    1000: seguridad.ti@spin.co
[2025-12-03 16:52:11] Grupo seguridad.ti@spin.co:       20 usuarios encontrados
[2025-12-03 16:52:11] Procesando grupo 26/    1000: seguridad.coalicion@spin.co
[2025-12-03 16:52:12] Grupo seguridad.coalicion@spin.co:        2 usuarios encontrados
[2025-12-03 16:52:12] Procesando grupo 27/    1000: redes@spin.co
[2025-12-03 16:52:13] Grupo redes@spin.co:        1 usuarios encontrados
[2025-12-03 16:52:13] Procesando grupo 28/    1000: pruebalistagws@spin.co
[2025-12-03 16:52:15] Grupo pruebalistagws@spin.co:        3 usuarios encontrados
[2025-12-03 16:52:15] Procesando grupo 29/    1000: fintech.producto.b2b@spin.co
[2025-12-03 16:52:16] Grupo fintech.producto.b2b@spin.co:        2 usuarios encontrados
[2025-12-03 16:52:16] Procesando grupo 30/    1000: producto.b2b@spin.co
[2025-12-03 16:52:17] Grupo producto.b2b@spin.co:        8 usuarios encontrados
[2025-12-03 16:52:17] Procesando grupo 31/    1000: operations-qr-qa@spin.co
[2025-12-03 16:52:18] Grupo operations-qr-qa@spin.co:        3 usuarios encontrados
[2025-12-03 16:52:18] Procesando grupo 32/    1000: operations-qr@spin.co
[2025-12-03 16:52:20] Grupo operations-qr@spin.co:        9 usuarios encontrados
[2025-12-03 16:52:20] Procesando grupo 33/    1000: operations-qr-dev@spin.co
[2025-12-03 16:52:21] Grupo operations-qr-dev@spin.co:        3 usuarios encontrados
[2025-12-03 16:52:21] Procesando grupo 34/    1000: operacionti.spincredit@spin.co
[2025-12-03 16:52:22] Grupo operacionti.spincredit@spin.co:       19 usuarios encontrados
[2025-12-03 16:52:22] Procesando grupo 35/    1000: operacionti.spinpremia@spin.co
[2025-12-03 16:52:23] Grupo operacionti.spinpremia@spin.co:       17 usuarios encontrados
[2025-12-03 16:52:23] Procesando grupo 36/    1000: operacionti.spinnegocios@spin.co
[2025-12-03 16:52:24] Grupo operacionti.spinnegocios@spin.co:       15 usuarios encontrados
[2025-12-03 16:52:24] Procesando grupo 37/    1000: netsecops@spin.co
[2025-12-03 16:52:25] Grupo netsecops@spin.co:        3 usuarios encontrados
[2025-12-03 16:52:25] Procesando grupo 38/    1000: notificaciones.legales@spinnegocios.com
[2025-12-03 16:52:27] Grupo notificaciones.legales@spinnegocios.com:        8 usuarios encontrados
[2025-12-03 16:52:27] Procesando grupo 39/    1000: monitoreo.b2b@spin.co
[2025-12-03 16:52:28] Grupo monitoreo.b2b@spin.co:        3 usuarios encontrados
[2025-12-03 16:52:28] Procesando grupo 40/    1000: soporteops.mxce@spin.co
[2025-12-03 16:52:29] Grupo soporteops.mxce@spin.co:        3 usuarios encontrados
[2025-12-03 16:52:29] Procesando grupo 41/    1000: spin-premia.soporte.ops@spin.co
[2025-12-03 16:52:30] Grupo spin-premia.soporte.ops@spin.co:        4 usuarios encontrados
[2025-12-03 16:52:30] Procesando grupo 42/    1000: lead.sre@spin.co
[2025-12-03 16:52:31] Grupo lead.sre@spin.co:        9 usuarios encontrados
[2025-12-03 16:52:31] Procesando grupo 43/    1000: lending-ti@spin.co
[2025-12-03 16:52:33] Grupo lending-ti@spin.co:       14 usuarios encontrados
[2025-12-03 16:52:33] Procesando grupo 44/    1000: irt@spin.co
[2025-12-03 16:52:34] Grupo irt@spin.co:        4 usuarios encontrados
[2025-12-03 16:52:34] Procesando grupo 45/    1000: gravty.apiuser.mx@spin.co
[2025-12-03 16:52:35] Grupo gravty.apiuser.mx@spin.co:        4 usuarios encontrados
[2025-12-03 16:52:35] Procesando grupo 46/    1000: functionalteam.b2c@spin.co
[2025-12-03 16:52:36] Grupo functionalteam.b2c@spin.co:        6 usuarios encontrados
[2025-12-03 16:52:36] Procesando grupo 47/    1000: edi@spin.co
[2025-12-03 16:52:37] Grupo edi@spin.co:        9 usuarios encontrados
[2025-12-03 16:52:37] Procesando grupo 48/    1000: fiserv-spin@spin.co
[2025-12-03 16:52:38] Grupo fiserv-spin@spin.co:        8 usuarios encontrados
[2025-12-03 16:52:38] Procesando grupo 49/    1000: dfr.b2c@spin.co
[2025-12-03 16:52:40] Grupo dfr.b2c@spin.co:       33 usuarios encontrados
[2025-12-03 16:52:40] Procesando grupo 50/    1000: digitalhouse@spin.co
[2025-12-03 16:52:41] Grupo digitalhouse@spin.co:       17 usuarios encontrados
[2025-12-03 16:52:41] Procesando grupo 51/    1000: direct.reportsb2c@spin.co
[2025-12-03 16:52:42] Grupo direct.reportsb2c@spin.co:        5 usuarios encontrados
[2025-12-03 16:52:42] Procesando grupo 52/    1000: digital-credential-eng@spin.co
[2025-12-03 16:52:43] Grupo digital-credential-eng@spin.co:        6 usuarios encontrados
[2025-12-03 16:52:43] Procesando grupo 53/    1000: devops.coalicion@spin.co
[2025-12-03 16:52:44] Grupo devops.coalicion@spin.co:        1 usuarios encontrados
[2025-12-03 16:52:44] Procesando grupo 54/    1000: dev-monitoreo.b2b@spin.co
[2025-12-03 16:52:46] Grupo dev-monitoreo.b2b@spin.co:        3 usuarios encontrados
[2025-12-03 16:52:46] Procesando grupo 55/    1000: designteam@spin.co
[2025-12-03 16:52:47] Grupo designteam@spin.co:       35 usuarios encontrados
[2025-12-03 16:52:47] Procesando grupo 56/    1000: dbre.transversal@spin.co
[2025-12-03 16:52:48] Grupo dbre.transversal@spin.co:        9 usuarios encontrados
[2025-12-03 16:52:48] Procesando grupo 57/    1000: dataops-team@spin.co
[2025-12-03 16:52:50] Grupo dataops-team@spin.co:        5 usuarios encontrados
[2025-12-03 16:52:50] Procesando grupo 58/    1000: reportes.checkout@spin.co
[2025-12-03 16:52:51] Grupo reportes.checkout@spin.co:        6 usuarios encontrados
[2025-12-03 16:52:51] Procesando grupo 59/    1000: cash-platform-desarrollo@spin.co
[2025-12-03 16:52:52] Grupo cash-platform-desarrollo@spin.co:        7 usuarios encontrados
[2025-12-03 16:52:52] Procesando grupo 60/    1000: alldigitalfemsa@spin.co
[2025-12-03 16:52:54] Grupo alldigitalfemsa@spin.co:      429 usuarios encontrados
[2025-12-03 16:52:54] Procesando grupo 61/    1000: b2b_cash_platform@spin.co
[2025-12-03 16:52:55] Grupo b2b_cash_platform@spin.co:        2 usuarios encontrados
[2025-12-03 16:52:55] Procesando grupo 62/    1000: yza@spin.co
[2025-12-03 16:52:56] Grupo yza@spin.co:        2 usuarios encontrados
[2025-12-03 16:52:57] Procesando grupo 63/    1000: yza-spinpremia@spin.co
[2025-12-03 16:52:58] Grupo yza-spinpremia@spin.co:        8 usuarios encontrados
[2025-12-03 16:52:58] Procesando grupo 64/    1000: yadinaguilar@spin.co
[2025-12-03 16:52:59] Grupo yadinaguilar@spin.co:        2 usuarios encontrados
[2025-12-03 16:52:59] Procesando grupo 65/    1000: xpertal_spin@spin.co
[2025-12-03 16:53:00] Grupo xpertal_spin@spin.co:        1 usuarios encontrados
[2025-12-03 16:53:00] Procesando grupo 66/    1000: ws5-bizdev@spin.co
[2025-12-03 16:53:01] Grupo ws5-bizdev@spin.co:       16 usuarios encontrados
[2025-12-03 16:53:01] Procesando grupo 67/    1000: wow_andatti_drive@spin.co
[2025-12-03 16:53:03] Grupo wow_andatti_drive@spin.co:        3 usuarios encontrados
[2025-12-03 16:53:03] Procesando grupo 68/    1000: wowbulktarjetasfsicas@spin.co
[2025-12-03 16:53:04] Grupo wowbulktarjetasfsicas@spin.co:        5 usuarios encontrados
[2025-12-03 16:53:04] Procesando grupo 69/    1000: workforcegovernancedh@spin.co
[2025-12-03 16:53:05] Grupo workforcegovernancedh@spin.co:        1 usuarios encontrados
[2025-12-03 16:53:05] Procesando grupo 70/    1000: wip-omp@spin.co
[2025-12-03 16:53:06] Grupo wip-omp@spin.co:        7 usuarios encontrados
[2025-12-03 16:53:06] Procesando grupo 71/    1000: workforce@spin.co
[2025-12-03 16:53:07] Grupo workforce@spin.co:        1 usuarios encontrados
[2025-12-03 16:53:07] Procesando grupo 72/    1000: winba@spin.co
[2025-12-03 16:53:09] Grupo winba@spin.co:        3 usuarios encontrados
[2025-12-03 16:53:09] Procesando grupo 73/    1000: weeklycaffenio@spin.co
[2025-12-03 16:53:10] Grupo weeklycaffenio@spin.co:        1 usuarios encontrados
[2025-12-03 16:53:10] Procesando grupo 74/    1000: wallpaperspin2025@spin.co
[2025-12-03 16:53:11] Grupo wallpaperspin2025@spin.co:        1 usuarios encontrados
[2025-12-03 16:53:11] Procesando grupo 75/    1000: vonusspinpro@spin.co
[2025-12-03 16:53:12] Grupo vonusspinpro@spin.co:        8 usuarios encontrados
[2025-12-03 16:53:12] Procesando grupo 76/    1000: vonus_alineacion@spin.co
[2025-12-03 16:53:14] Grupo vonus_alineacion@spin.co:       23 usuarios encontrados
[2025-12-03 16:53:14] Procesando grupo 77/    1000: vonus@spin.co
[2025-12-03 16:53:15] Grupo vonus@spin.co:       10 usuarios encontrados
[2025-12-03 16:53:15] Procesando grupo 78/    1000: volaris@spin.co
[2025-12-03 16:53:16] Grupo volaris@spin.co:       34 usuarios encontrados
[2025-12-03 16:53:16] Procesando grupo 79/    1000: vmodocumentos@spin.co
[2025-12-03 16:53:17] Grupo vmodocumentos@spin.co:        4 usuarios encontrados
[2025-12-03 16:53:17] Procesando grupo 80/    1000: vix@spin.co
[2025-12-03 16:53:19] Grupo vix@spin.co:        8 usuarios encontrados
[2025-12-03 16:53:19] Procesando grupo 81/    1000: vixcompartido@spin.co
[2025-12-03 16:53:20] Grupo vixcompartido@spin.co:        1 usuarios encontrados
[2025-12-03 16:53:20] Procesando grupo 82/    1000: videoscapacitacingravty2022@spin.co
[2025-12-03 16:53:21] Grupo videoscapacitacingravty2022@spin.co:        5 usuarios encontrados
[2025-12-03 16:53:21] Procesando grupo 83/    1000: videos@spin.co
[2025-12-03 16:53:22] Grupo videos@spin.co:        1 usuarios encontrados
[2025-12-03 16:53:22] Procesando grupo 84/    1000: ventastienditasyfonditas@spin.co
[2025-12-03 16:53:23] Grupo ventastienditasyfonditas@spin.co:        1 usuarios encontrados
[2025-12-03 16:53:23] Procesando grupo 85/    1000: uxresearch@spin.co
[2025-12-03 16:53:25] Grupo uxresearch@spin.co:        1 usuarios encontrados
[2025-12-03 16:53:25] Procesando grupo 86/    1000: uxresearchspin@spin.co
[2025-12-03 16:53:26] Grupo uxresearchspin@spin.co:        1 usuarios encontrados
[2025-12-03 16:53:26] Procesando grupo 87/    1000: valuestreamsdnd@spin.co
[2025-12-03 16:53:27] Grupo valuestreamsdnd@spin.co:        4 usuarios encontrados
[2025-12-03 16:53:27] Procesando grupo 88/    1000: usrsabobe20klimit@spin.co
[2025-12-03 16:53:28] Grupo usrsabobe20klimit@spin.co:        4 usuarios encontrados
[2025-12-03 16:53:28] Procesando grupo 89/    1000: transversal-multicloudhub@spin.co
[2025-12-03 16:53:29] Grupo transversal-multicloudhub@spin.co:        7 usuarios encontrados
[2025-12-03 16:53:29] Procesando grupo 90/    1000: transversal@spin.co
[2025-12-03 16:53:30] Grupo transversal@spin.co:       16 usuarios encontrados
[2025-12-03 16:53:31] Procesando grupo 91/    1000: transferenciadeteccin@spin.co
[2025-12-03 16:53:32] Grupo transferenciadeteccin@spin.co:        1 usuarios encontrados
[2025-12-03 16:53:32] Procesando grupo 92/    1000: e-commerce@spin.co
[2025-12-03 16:53:33] Grupo e-commerce@spin.co:       20 usuarios encontrados
[2025-12-03 16:53:33] Procesando grupo 93/    1000: tracker@spin.co
[2025-12-03 16:53:34] Grupo tracker@spin.co: Vacío
[2025-12-03 16:53:34] Procesando grupo 94/    1000: trademkt@spin.co
[2025-12-03 16:53:35] Grupo trademkt@spin.co:        1 usuarios encontrados
[2025-12-03 16:53:35] Procesando grupo 95/    1000: trackersabasto@spin.co
[2025-12-03 16:53:36] Grupo trackersabasto@spin.co:        1 usuarios encontrados
[2025-12-03 16:53:36] Procesando grupo 96/    1000: toolkitspinnegocios@spin.co
[2025-12-03 16:53:38] Grupo toolkitspinnegocios@spin.co:        5 usuarios encontrados
[2025-12-03 16:53:38] Procesando grupo 97/    1000: tmp-workstream-smog@spin.co
[2025-12-03 16:53:39] Grupo tmp-workstream-smog@spin.co:        5 usuarios encontrados
[2025-12-03 16:53:39] Procesando grupo 98/    1000: tit-prueba@spin.co
[2025-12-03 16:53:40] Grupo tit-prueba@spin.co:        2 usuarios encontrados
[2025-12-03 16:53:40] Procesando grupo 99/    1000: titransversal@spin.co
[2025-12-03 16:53:41] Grupo titransversal@spin.co:        3 usuarios encontrados
[2025-12-03 16:53:41] Procesando grupo 100/    1000: testsite1@spin.co
[2025-12-03 16:53:43] Grupo testsite1@spin.co:        1 usuarios encontrados
[2025-12-03 16:53:43] Procesando grupo 101/    1000: tets@spin.co
[2025-12-03 16:53:44] Grupo tets@spin.co:        1 usuarios encontrados
[2025-12-03 16:53:44] Procesando grupo 102/    1000: testgrupopersonal@spin.co
[2025-12-03 16:53:45] Grupo testgrupopersonal@spin.co:        1 usuarios encontrados
[2025-12-03 16:53:45] Procesando grupo 103/    1000: test2@spin.co
[2025-12-03 16:53:46] Grupo test2@spin.co:        1 usuarios encontrados
[2025-12-03 16:53:46] Procesando grupo 104/    1000: testautomatizedtasks@spin.co
[2025-12-03 16:53:48] Grupo testautomatizedtasks@spin.co:        1 usuarios encontrados
[2025-12-03 16:53:48] Procesando grupo 105/    1000: test_oegg@spin.co
[2025-12-03 16:53:49] Grupo test_oegg@spin.co:        1 usuarios encontrados
[2025-12-03 16:53:49] Procesando grupo 106/    1000: test1@spin.co
[2025-12-03 16:53:50] Grupo test1@spin.co:        2 usuarios encontrados
[2025-12-03 16:53:50] Procesando grupo 107/    1000: testwendy@spin.co
[2025-12-03 16:53:51] Grupo testwendy@spin.co:        2 usuarios encontrados
[2025-12-03 16:53:51] Procesando grupo 108/    1000: testautomationtest@spin.co
[2025-12-03 16:53:52] Grupo testautomationtest@spin.co:        2 usuarios encontrados
[2025-12-03 16:53:52] Procesando grupo 109/    1000: test347@spin.co
[2025-12-03 16:53:54] Grupo test347@spin.co:        1 usuarios encontrados
[2025-12-03 16:53:54] Procesando grupo 110/    1000: test-wee@spin.co
[2025-12-03 16:53:55] Grupo test-wee@spin.co:        1 usuarios encontrados
[2025-12-03 16:53:55] Procesando grupo 111/    1000: test392@spin.co
[2025-12-03 16:53:56] Grupo test392@spin.co:        1 usuarios encontrados
[2025-12-03 16:53:56] Procesando grupo 112/    1000: test943@spin.co
[2025-12-03 16:53:57] Grupo test943@spin.co:        1 usuarios encontrados
[2025-12-03 16:53:57] Procesando grupo 113/    1000: test684@spin.co
[2025-12-03 16:53:59] Grupo test684@spin.co:        1 usuarios encontrados
[2025-12-03 16:53:59] Procesando grupo 114/    1000: test390@spin.co
[2025-12-03 16:54:00] Grupo test390@spin.co:        1 usuarios encontrados
[2025-12-03 16:54:00] Procesando grupo 115/    1000: test834@spin.co
[2025-12-03 16:54:01] Grupo test834@spin.co:        1 usuarios encontrados
[2025-12-03 16:54:01] Procesando grupo 116/    1000: test365@spin.co
[2025-12-03 16:54:02] Grupo test365@spin.co:        1 usuarios encontrados
[2025-12-03 16:54:03] Procesando grupo 117/    1000: test816@spin.co
[2025-12-03 16:54:04] Grupo test816@spin.co:        1 usuarios encontrados
[2025-12-03 16:54:04] Procesando grupo 118/    1000: technicalarchitecture@spin.co
[2025-12-03 16:54:05] Grupo technicalarchitecture@spin.co:        6 usuarios encontrados
[2025-12-03 16:54:05] Procesando grupo 119/    1000: tenderos@spin.co
[2025-12-03 16:54:06] Grupo tenderos@spin.co:        1 usuarios encontrados
[2025-12-03 16:54:06] Procesando grupo 120/    1000: techoxxoanddf@spin.co
[2025-12-03 16:54:07] Grupo techoxxoanddf@spin.co:        5 usuarios encontrados
[2025-12-03 16:54:07] Procesando grupo 121/    1000: tenderosdisenoproducto@spin.co
[2025-12-03 16:54:09] Grupo tenderosdisenoproducto@spin.co:        7 usuarios encontrados
[2025-12-03 16:54:09] Procesando grupo 122/    1000: teamviewersetup@spin.co
[2025-12-03 16:54:10] Grupo teamviewersetup@spin.co:        3 usuarios encontrados
[2025-12-03 16:54:10] Procesando grupo 123/    1000: teamplanning@spin.co
[2025-12-03 16:54:11] Grupo teamplanning@spin.co:        5 usuarios encontrados
[2025-12-03 16:54:11] Procesando grupo 124/    1000: teamgrowthoxxo@spin.co
[2025-12-03 16:54:12] Grupo teamgrowthoxxo@spin.co:        6 usuarios encontrados
[2025-12-03 16:54:12] Procesando grupo 125/    1000: teamhrconveniencemarketaccesscorporatedevelopment@spin.co
[2025-12-03 16:54:13] Grupo teamhrconveniencemarketaccesscorporatedevelopment@spin.co:        4 usuarios encontrados
[2025-12-03 16:54:13] Procesando grupo 126/    1000: team-planning-people-and-tech@spin.co
[2025-12-03 16:54:15] Grupo team-planning-people-and-tech@spin.co:        3 usuarios encontrados
[2025-12-03 16:54:15] Procesando grupo 127/    1000: targetsegment@spin.co
[2025-12-03 16:54:16] Grupo targetsegment@spin.co:        7 usuarios encontrados
[2025-12-03 16:54:16] Procesando grupo 128/    1000: talentdevelopmentperformance@spin.co
[2025-12-03 16:54:17] Grupo talentdevelopmentperformance@spin.co:        3 usuarios encontrados
[2025-12-03 16:54:17] Procesando grupo 129/    1000: talentreviewb2b@spin.co
[2025-12-03 16:54:18] Grupo talentreviewb2b@spin.co:        4 usuarios encontrados
[2025-12-03 16:54:18] Procesando grupo 130/    1000: talentodigital@spin.co
[2025-12-03 16:54:19] Grupo talentodigital@spin.co:        1 usuarios encontrados
[2025-12-03 16:54:19] Procesando grupo 131/    1000: tareassemanales@spin.co
[2025-12-03 16:54:21] Grupo tareassemanales@spin.co: Vacío
[2025-12-03 16:54:21] Procesando grupo 132/    1000: talentacquisitionteam@spin.co
[2025-12-03 16:54:22] Grupo talentacquisitionteam@spin.co:        9 usuarios encontrados
[2025-12-03 16:54:22] Procesando grupo 133/    1000: tplantransversal@spin.co
[2025-12-03 16:54:23] Grupo tplantransversal@spin.co:        4 usuarios encontrados
[2025-12-03 16:54:23] Procesando grupo 134/    1000: taewa@spin.co
[2025-12-03 16:54:24] Grupo taewa@spin.co:        1 usuarios encontrados
[2025-12-03 16:54:24] Procesando grupo 135/    1000: apollo-tagging@spin.co
[2025-12-03 16:54:25] Grupo apollo-tagging@spin.co:       11 usuarios encontrados
[2025-12-03 16:54:25] Procesando grupo 136/    1000: tplannetworks@spin.co
[2025-12-03 16:54:26] Grupo tplannetworks@spin.co:        7 usuarios encontrados
[2025-12-03 16:54:26] Procesando grupo 137/    1000: tplaninstitutional@spin.co
[2025-12-03 16:54:28] Grupo tplaninstitutional@spin.co:        4 usuarios encontrados
[2025-12-03 16:54:28] Procesando grupo 138/    1000: sygnia@spin.co
[2025-12-03 16:54:29] Grupo sygnia@spin.co:        1 usuarios encontrados
[2025-12-03 16:54:29] Procesando grupo 139/    1000: susanacarrillo@spin.co
[2025-12-03 16:54:30] Grupo susanacarrillo@spin.co:        1 usuarios encontrados
[2025-12-03 16:54:30] Procesando grupo 140/    1000: ciamgovernanceownership@spin.co
[2025-12-03 16:54:31] Grupo ciamgovernanceownership@spin.co:       48 usuarios encontrados
[2025-12-03 16:54:31] Procesando grupo 141/    1000: superapptenderos@spin.co
[2025-12-03 16:54:32] Grupo superapptenderos@spin.co:        3 usuarios encontrados
[2025-12-03 16:54:33] Procesando grupo 142/    1000: summitirt@spin.co
[2025-12-03 16:54:34] Grupo summitirt@spin.co:        1 usuarios encontrados
[2025-12-03 16:54:34] Procesando grupo 143/    1000: successfactorsonoffboarding@spin.co
[2025-12-03 16:54:35] Grupo successfactorsonoffboarding@spin.co:        3 usuarios encontrados
[2025-12-03 16:54:35] Procesando grupo 144/    1000: strategyplanningminiteam@spin.co
[2025-12-03 16:54:36] Grupo strategyplanningminiteam@spin.co:        3 usuarios encontrados
[2025-12-03 16:54:36] Procesando grupo 145/    1000: strategyplanning@spin.co
[2025-12-03 16:54:37] Grupo strategyplanning@spin.co:        4 usuarios encontrados
[2025-12-03 16:54:37] Procesando grupo 146/    1000: strategycorporatedevelopment@spin.co
[2025-12-03 16:54:38] Grupo strategycorporatedevelopment@spin.co:        7 usuarios encontrados
[2025-12-03 16:54:38] Procesando grupo 147/    1000: spinpro-productservicedesign@spin.co
[2025-12-03 16:54:40] Grupo spinpro-productservicedesign@spin.co:        7 usuarios encontrados
[2025-12-03 16:54:40] Procesando grupo 148/    1000: statusvacantes@spin.co
[2025-12-03 16:54:41] Grupo statusvacantes@spin.co: Vacío
[2025-12-03 16:54:41] Procesando grupo 149/    1000: star-techdata-jdsrepo2025@spin.co
[2025-12-03 16:54:42] Grupo star-techdata-jdsrepo2025@spin.co:        8 usuarios encontrados
[2025-12-03 16:54:42] Procesando grupo 150/    1000: star@spin.co
[2025-12-03 16:54:43] Grupo star@spin.co:        1 usuarios encontrados
[2025-12-03 16:54:43] Procesando grupo 151/    1000: staffnewventures@spin.co
[2025-12-03 16:54:45] Grupo staffnewventures@spin.co:        3 usuarios encontrados
[2025-12-03 16:54:45] Procesando grupo 152/    1000: ssffmobileapp@spin.co
[2025-12-03 16:54:46] Grupo ssffmobileapp@spin.co:        2 usuarios encontrados
[2025-12-03 16:54:46] Procesando grupo 153/    1000: ssffself-serviceturnon@spin.co
[2025-12-03 16:54:47] Grupo ssffself-serviceturnon@spin.co:        3 usuarios encontrados
[2025-12-03 16:54:47] Procesando grupo 154/    1000: ssffassessment@spin.co
[2025-12-03 16:54:48] Grupo ssffassessment@spin.co:        2 usuarios encontrados
[2025-12-03 16:54:48] Procesando grupo 155/    1000: ssff-lending@spin.co
[2025-12-03 16:54:50] Grupo ssff-lending@spin.co:       25 usuarios encontrados
[2025-12-03 16:54:50] Procesando grupo 156/    1000: sretransversal@spin.co
[2025-12-03 16:54:51] Grupo sretransversal@spin.co:       13 usuarios encontrados
[2025-12-03 16:54:51] Procesando grupo 157/    1000: squaddatamafia@spin.co
[2025-12-03 16:54:52] Grupo squaddatamafia@spin.co:        2 usuarios encontrados
[2025-12-03 16:54:52] Procesando grupo 158/    1000: spnnotifications@spin.co
[2025-12-03 16:54:54] Grupo spnnotifications@spin.co:        1 usuarios encontrados
[2025-12-03 16:54:54] Procesando grupo 159/    1000: spnfondas@spin.co
[2025-12-03 16:54:55] Grupo spnfondas@spin.co:        2 usuarios encontrados
[2025-12-03 16:54:55] Procesando grupo 160/    1000: spinpro-ops@spin.co
[2025-12-03 16:54:56] Grupo spinpro-ops@spin.co:        7 usuarios encontrados
[2025-12-03 16:54:56] Procesando grupo 161/    1000: spinpremia-oxg@spin.co
[2025-12-03 16:54:57] Grupo spinpremia-oxg@spin.co:        1 usuarios encontrados
[2025-12-03 16:54:57] Procesando grupo 162/    1000: spinpremia-oxgpf@spin.co
[2025-12-03 16:54:58] Grupo spinpremia-oxgpf@spin.co:        1 usuarios encontrados
[2025-12-03 16:54:58] Procesando grupo 163/    1000: spinfood-producto-app@spin.co
[2025-12-03 16:55:00] Grupo spinfood-producto-app@spin.co:        1 usuarios encontrados
[2025-12-03 16:55:00] Procesando grupo 164/    1000: spinfood-desarrollo@spin.co
[2025-12-03 16:55:01] Grupo spinfood-desarrollo@spin.co:        1 usuarios encontrados
